Name,Year,Site,Transect,Quadrat,Point,Row,Column,Alleviate level,Label,Functional Group,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,17,2220,1357,100,TFL,TURF,TFL,85,TCC,5,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,18,1229,2925,100,ZOS,ZOANT,ZOS,57,TFL,18,CNA/CC,10,ARC,6,TCC,4
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,19,2483,1763,100,TFL,TURF,TFL,84,TCC,6,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,20,2408,2664,100,ZOS,ZOANT,ZOS,81,TFL,9,TCC,3,ARC,3,CNA/CC,2
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,21,2516,1010,100,TFL,TURF,TFL,81,TCC,5,ARC,4,CNA/CC,3,SHAD,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,22,493,2586,100,TFL,TURF,TFL,76,ZOS,8,TCC,5,ARC,3,CNA/CC,2
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,23,548,2834,100,ZOS,ZOANT,ZOS,68,TFL,20,CNA/CC,3,TCC,3,ARC,3
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,24,1169,2909,100,TFL,TURF,TFL,71,ZOS,11,TCC,6,ARC,4,CNA/CC,2
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,25,632,2339,100,ZOS,ZOANT,ZOS,81,TFL,9,ARC,3,TCC,2,CNA/CC,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,26,2650,2391,100,TFL,TURF,TFL,81,TCC,8,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,27,1966,2377,100,ZOS,ZOANT,ZOS,69,TFL,19,TCC,3,ARC,3,CNA/CC,2
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,28,622,1341,100,ZOS,ZOANT,ZOS,83,TFL,7,ARC,3,TCC,2,CNA/CC,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,29,867,1615,100,ZOS,ZOANT,ZOS,70,ARC,13,TFL,9,TCC,2,CNA/CC,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,30,2545,1973,100,TCC,TURF,TCC,49,TFL,40,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,31,2002,2468,100,CAUV,MFL,CAUV,69,TFL,10,ZOS,7,ARC,4,TCC,3
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,32,1930,2205,100,TFL,TURF,TFL,84,TCC,4,CNA/CC,3,ARC,3,SHAD,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,33,1560,1007,100,TFL,TURF,TFL,59,CNA/CC,24,ARC,5,TCC,5,ZOS,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,34,1668,2409,100,TFL,TURF,TFL,73,TCC,15,ARC,3,CNA/CC,2,ZOS,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,35,1626,2767,100,TFL,TURF,TFL,79,TCC,6,ARC,4,ZOS,3,CNA/CC,3
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,36,459,1408,100,TFL,TURF,TFL,50,ZOS,34,TCC,4,ARC,4,CNA/CC,3
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,37,2614,1078,100,TFL,TURF,TFL,61,CNA/CC,15,ARC,6,TCC,6,ZOS,4
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,38,290,2614,100,TFL,TURF,TFL,77,ZOS,8,ARC,6,TCC,3,CNA/CC,2
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,39,951,2498,100,ZOS,ZOANT,ZOS,82,TFL,7,ARC,3,CNA/CC,2,TCC,2
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,40,833,2878,100,TFL,TURF,TFL,47,CNA/CC,17,ZOS,16,TCC,7,ARC,5
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,41,920,1929,100,TFL,TURF,TFL,79,ZOS,6,TCC,5,ARC,4,CNA/CC,2
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,42,1859,2029,100,TFL,TURF,TFL,69,CNA/CC,17,ARC,4,TCC,3,SHAD,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,43,2401,2635,100,TFL,TURF,TFL,56,ZOS,28,TCC,5,ARC,4,CNA/CC,3
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,44,2371,2885,100,TFL,TURF,TFL,71,TCC,8,CNA/CC,7,ARC,5,ZOS,4
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,45,1420,2902,100,TFL,TURF,TFL,76,TCC,9,ARC,4,CNA/CC,4,ZOS,2
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,46,995,1133,100,SHAD,TWS,SHAD,53,TFL,25,ZOS,8,ARC,4,TCC,4
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,47,1175,2506,100,TFL,TURF,TFL,27,ARC,25,CNA/CC,19,ZOS,12,TCC,7
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,48,2368,2380,100,TFL,TURF,TFL,79,TCC,9,ARC,3,ZOS,2,CNA/CC,2
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,49,2354,1216,100,TFL,TURF,TFL,82,CNA/CC,5,TCC,4,ARC,3,SHAD,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,50,2121,1508,100,TFL,TURF,TFL,79,CNA/CC,8,TCC,4,ARC,3,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,1,690,2327,100,TFL,TURF,TFL,86,TCC,4,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,2,842,875,100,TFL,TURF,TFL,84,ARC,4,ZOS,3,TCC,3,CNA/CC,2
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,3,999,2033,100,TFL,TURF,TFL,78,TCC,8,ARC,4,CNA/CC,3,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,4,294,1737,100,TFL,TURF,TFL,83,TCC,4,ARC,3,ZOS,2,CNA/CC,2
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,5,2271,1401,100,TFL,TURF,TFL,59,ARC,23,CNA/CC,6,TCC,5,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,6,655,2514,100,TFL,TURF,TFL,84,TCC,6,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,7,1555,2442,100,ZOS,ZOANT,ZOS,80,TFL,7,ARC,5,TCC,2,CNA/CC,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,8,422,1976,100,TFL,TURF,TFL,77,TCC,12,ARC,3,CNA/CC,2,ZOS,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,9,1868,2735,100,TFL,TURF,TFL,77,ZOS,5,TCC,5,ARC,4,CNA/CC,3
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,10,2081,2125,100,TFL,TURF,TFL,62,ARC,28,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,11,352,2841,100,TFL,TURF,TFL,78,TCC,10,CNA/CC,4,ARC,3,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,12,727,2410,100,TFL,TURF,TFL,69,TCC,20,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,13,1138,2985,100,TFL,TURF,TFL,77,TCC,6,ZOS,5,ARC,4,CNA/CC,3
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,14,1729,1883,100,TFL,TURF,TFL,51,TCC,38,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,15,2508,2496,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,16,2005,2411,100,TFL,TURF,TFL,47,TCC,39,ARC,4,CNA/CC,3,ZOS,2
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,17,2685,2640,100,ARC,SUB,ARC,85,TFL,7,TCC,3,SHAD,1,CNA/CC,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,18,2465,2978,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,19,1416,2842,100,TFL,TURF,TFL,79,ARC,9,CNA/CC,3,TCC,3,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,20,1959,1746,100,TFL,TURF,TFL,77,TCC,10,ARC,4,ZOS,2,CNA/CC,2
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,21,2489,1980,100,TFL,TURF,TFL,58,TCC,26,ARC,5,CNA/CC,5,SHAD,2
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,22,1770,1650,100,TCC,TURF,TCC,75,TFL,15,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,23,2136,1509,100,TFL,TURF,TFL,55,TCC,25,ARC,5,CNA/CC,3,ZOS,3
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,24,1175,825,100,TFL,TURF,TFL,80,TCC,8,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,25,1541,1136,100,TFL,TURF,TFL,55,ARC,19,TCC,17,CNA/CC,3,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,26,1674,1215,100,TFL,TURF,TFL,71,TCC,18,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,27,977,3150,100,TFL,TURF,TFL,82,TCC,5,ARC,4,CNA/CC,3,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,28,1727,2568,100,ARC,SUB,ARC,84,TFL,8,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,29,2520,1259,100,TFL,TURF,TFL,82,TCC,7,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,30,1574,2398,100,ZOS,ZOANT,ZOS,82,TFL,8,ARC,3,TCC,2,CNA/CC,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,31,2629,2852,100,ARC,SUB,ARC,85,TFL,7,TCC,3,SHAD,1,CNA/CC,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,32,2465,2285,100,TFL,TURF,TFL,56,CNA/CC,21,TCC,11,ARC,5,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,33,2154,1044,100,TFL,TURF,TFL,85,TCC,5,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,34,428,2413,100,TFL,TURF,TFL,66,TCC,22,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,35,2292,2629,100,TFL,TURF,TFL,78,CNA/CC,6,ARC,6,TCC,4,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,36,1237,2661,100,TFL,TURF,TFL,60,ARC,25,TCC,4,CNA/CC,3,ZOS,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,37,556,1971,100,TFL,TURF,TFL,79,CNA/CC,6,TCC,5,ARC,3,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,38,1252,1181,100,TFL,TURF,TFL,75,ZOS,10,ARC,4,TCC,4,CNA/CC,2
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,39,1448,1677,100,TFL,TURF,TFL,81,TCC,8,ARC,4,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,40,1939,1398,100,TFL,TURF,TFL,85,TCC,5,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,41,1547,1322,100,TFL,TURF,TFL,60,TCC,28,ARC,4,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,42,1065,1310,100,TFL,TURF,TFL,83,ZOS,4,TCC,3,ARC,3,CNA/CC,2
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,43,448,3240,100,TFL,TURF,TFL,85,TCC,5,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,44,1280,2968,100,ARC,SUB,ARC,74,TFL,17,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,45,1827,2887,100,TFL,TURF,TFL,75,TCC,14,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,46,2079,2693,100,TFL,TURF,TFL,81,ARC,8,TCC,4,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,47,445,2530,100,TFL,TURF,TFL,74,TCC,13,ARC,4,CNA/CC,3,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,48,1586,2496,100,ZOS,ZOANT,ZOS,75,TFL,12,ARC,5,TCC,3,CNA/CC,2
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,49,268,1332,100,TFL,TURF,TFL,85,CNA/CC,3,TCC,3,ARC,3,SHAD,1
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,50,971,1712,100,TFL,TURF,TFL,75,ZOS,11,TCC,4,ARC,3,CNA/CC,2
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,1,1799,2144,100,OMFL1,MFL,OMFL1,68,TFL,16,ARC,4,BRSP,4,TCC,3
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,2,588,1100,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,3,600,1998,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,4,2317,1953,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,5,2411,1426,100,TFL,TURF,TFL,69,ARC,10,TCC,7,CNA/CC,5,SHAD,2
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,6,2227,1137,100,TFL,TURF,TFL,63,TCC,22,ARC,4,CNA/CC,3,ZOS,2
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,7,1795,2692,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,8,1711,908,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,9,2042,2563,100,ARC,SUB,ARC,84,TFL,7,TCC,3,SHAD,1,CNA/CC,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,10,1775,977,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,11,844,2597,100,ARC,SUB,ARC,85,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,12,2306,1154,100,SID,CORAL,SID,82,TFL,7,TCC,3,ARC,3,CNA/CC,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,13,2052,2070,100,OMFL1,MFL,OMFL1,38,TFL,29,CAUV,12,ARC,5,TCC,5
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,14,1078,1868,100,ARC,SUB,ARC,85,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,15,2212,1381,100,TFL,TURF,TFL,81,TCC,6,ARC,4,CNA/CC,3,SHAD,2
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,16,1302,1392,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,17,711,1845,100,ARC,SUB,ARC,83,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,18,2501,1200,100,SID,CORAL,SID,82,TFL,7,ARC,3,TCC,2,CNA/CC,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,19,2223,1633,100,ARC,SUB,ARC,83,TFL,8,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,20,1726,3061,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,21,655,2405,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,22,2411,2436,100,ARC,SUB,ARC,85,TFL,7,TCC,3,SHAD,1,CNA/CC,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,23,2461,2706,100,ARC,SUB,ARC,85,TFL,7,TCC,3,SHAD,1,CNA/CC,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,24,2111,1637,100,ARC,SUB,ARC,83,TFL,8,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,25,2464,1817,100,ARC,SUB,ARC,71,TFL,20,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,26,1674,2907,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,27,2600,1067,100,SHAD,TWS,SHAD,49,TFL,27,ARC,6,TCC,5,ZOS,5
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,28,436,2152,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,29,1161,2384,100,ARC,SUB,ARC,85,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,30,1697,1553,100,TFL,TURF,TFL,85,ARC,5,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,31,1523,1156,100,TFL,TURF,TFL,87,TCC,3,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,32,2140,2453,100,ARC,SUB,ARC,85,TFL,7,TCC,3,SHAD,1,CNA/CC,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,33,2148,885,100,ARC,SUB,ARC,71,TFL,21,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,34,1191,2302,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,35,1884,1407,100,OMFC,MFC,OMFC,55,ARC,29,TFL,7,CNA/CC,3,TCC,3
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,36,1816,3131,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,37,1042,3041,100,ARC,SUB,ARC,84,TFL,7,TCC,3,SHAD,1,CNA/CC,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,38,506,1011,100,ARC,SUB,ARC,85,TFL,7,TCC,3,SHAD,1,CNA/CC,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,39,2061,2843,100,TFL,TURF,TFL,54,ARC,18,CNA/CC,15,TCC,4,SHAD,2
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,40,319,1254,100,ARC,SUB,ARC,85,TFL,7,TCC,3,SHAD,1,CNA/CC,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,41,2523,1990,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,42,1738,3148,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,43,1847,2066,100,TFL,TURF,TFL,84,TCC,4,ARC,4,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,44,1777,3043,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,45,1674,2847,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,46,1756,1295,100,TFL,TURF,TFL,87,TCC,3,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,47,2634,1024,100,TFL,TURF,TFL,69,SHAD,10,TCC,7,ARC,5,CNA/CC,3
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,48,1785,3030,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,49,1815,2443,100,ARC,SUB,ARC,85,TFL,7,TCC,3,SHAD,1,CNA/CC,1
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,50,303,1535,100,ARC,SUB,ARC,84,TFL,7,TCC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (3).JPG,2014,Âncoras,2,3,1,871,1336,100,SHAD,TWS,SHAD,70,TFL,13,TCC,7,ARC,3,CNA/CC,2
AN_2014_fechada_t2_q (3).JPG,2014,Âncoras,2,3,2,1287,2325,100,TFL,TURF,TFL,52,TCC,37,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (3).JPG,2014,Âncoras,2,3,3,1351,2552,100,ARC,SUB,ARC,57,TFL,32,TCC,4,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (3).JPG,2014,Âncoras,2,3,4,904,1350,100,SHAD,TWS,SHAD,68,TFL,12,TCC,9,ARC,3,ZOS,2
AN_2014_fechada_t2_q (3).JPG,2014,Âncoras,2,3,5,1362,3032,100,TFL,TURF,TFL,86,TCC,4,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (3).JPG,2014,Âncoras,2,3,6,1519,2285,100,TFL,TURF,TFL,76,TCC,12,CNA/CC,3,ARC,3,SHAD,1
AN_2014_fechada_t2_q (3).JPG,2014,Âncoras,2,3,7,1535,1802,100,TFL,TURF,TFL,81,TCC,8,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (3).JPG,2014,Âncoras,2,3,8,840,2166,100,TFL,TURF,TFL,80,TCC,10,ARC,3,CNA/CC,2,SHAD,1
AN_2014_fechada_t2_q (3).JPG,2014,Âncoras,2,3,9,2608,1457,100,TFL,TURF,TFL,86,ARC,4,TCC,3,CNA/CC,2,SHAD,1
